KEGG_ko	arc_domain_prop	bac_domain_prop	Gene	Map	Pathway	alignment_length	highest_COG_cat	difference_1st_and_2nd	categories	COG_freq	COG_cat	archaea	bacteria	alternative_COGs	COG_perc	COG	COG_NAME	COG_TAG	sequences	Arc_prop	Bac_prop	constrained_median	ML_median	MEAN_OF_MEDIANS	RANGE_OF_MEDIANS	Probable_and_sampling_threshold_met	Possible_and_sampling_threshold_met	Probable	Possible
K03673	0.0085714285714285	0.1139601139601139	dsbA; protein dithiol oxidoreductase (disulfide-forming) [EC:1.8.4.15]	path:map01503	Cationic antimicrobial peptide (CAMP) resistance	75.0	43.0	39.0	4.0	0.86	O	3.0	47.0	2.0	0.96	COG1651	Protein_thiol-disulfide_isomerase_DsbC	DsbG	50.0	0.06	0.94	0.0084967980868138	0.0110971753940965	0.0097969867404551	0.0026003773072826	0	0	0	0
K03674	0.0	0.0199430199430199	grxA; glutaredoxin 1			79.0	7.0	0.0	1.0	1.0	O	0.0	7.0	1.0	1.0	COG0695	Glutaredoxin	GrxC	7.0	0.0	1.0	4.30222370849822e-11	6.1294921271826e-09	3.0862571821337913e-09	6.086469890097618e-09	0	0	0	0
K03675	0.0	0.0199430199430199	grxB; glutaredoxin 2			197.0	8.0	0.0	1.0	1.0	O	0.0	8.0	2.0	0.875	COG2999	Glutaredoxin_2	GrxB	8.0	0.0	1.0	0.0667872804206187	0.133311554230089	0.1000494173253538	0.0665242738094703	0	0	0	0
K03676	0.0657142857142857	0.301994301994302	grxC, GLRX, GLRX2; glutaredoxin 3			54.0	140.0	133.0	3.0	0.939597315436242	O	23.0	126.0	3.0	0.979865771812081	COG0695	Glutaredoxin	GrxC	149.0	0.1543624161073825	0.8456375838926175	0.642976171072209	0.439332095865437	0.541154133468823	0.2036440752067719	0	1	0	1
K03679	0.8028571428571428	0.0	RRP4, EXOSC2; exosome complex component RRP4	path:map03018	RNA degradation	131.0	286.0	0.0	1.0	1.0	J	286.0	0.0	1.0	1.0	COG1097	Exosome_complex_RNA-binding_protein_Rrp4,_contains_S1_and_KH_domains	Rrp4	286.0	1.0	0.0	0.769102624024129	0.0779068829046096	0.4235047534643693	0.6911957411195194	0	0	1	1
K03680	0.2428571428571428	0.0284900284900284	EIF2B4; translation initiation factor eIF-2B subunit delta	path:map05168	Herpes simplex virus 1 infection	185.0	96.0	0.0	1.0	1.0	J	86.0	10.0	1.0	1.0	COG1184	Translation_initiation_factor_2B_subunit,_eIF-2B_alpha/beta/delta_family	GCD2	96.0	0.8958333333333334	0.1041666666666666	0.366986360219408	0.0182957384447789	0.1926410493320934	0.3486906217746291	0	0	0	0
K03683	0.0	0.0541310541310541	rnt; ribonuclease T [EC:3.1.13.-]			200.0	18.0	17.0	2.0	0.947368421052632	L	0.0	19.0	1.0	1.0	COG0847	DNA_polymerase_III,_epsilon_subunit_or_related_3'-5'_exonuclease	DnaQ	19.0	0.0	1.0	0.0040024686704161	0.0086558748304844	0.0063291717504502	0.0046534061600682	0	0	0	0
K03684	0.0171428571428571	0.4074074074074074	rnd; ribonuclease D [EC:3.1.13.5]			94.0	134.0	83.0	3.0	0.716577540106952	J	6.0	179.0	2.0	0.989304812834225	COG0349	Ribonuclease_D	Rnd	185.0	0.0324324324324324	0.9675675675675676	0.0054681983536133	0.0371546833867146	0.0213114408701639	0.0316864850331013	0	0	0	0
K03685	0.0742857142857142	0.9487179487179488	rnc, DROSHA, RNT1; ribonuclease III [EC:3.1.26.3]	path:map03008,path:map05205	Ribosome biogenesis in eukaryotes,Proteoglycans in cancer	80.0	303.0	230.0	5.0	0.799472295514512	J	29.0	350.0	3.0	0.994722955145119	COG0571	dsRNA-specific_ribonuclease	Rnc	379.0	0.0765171503957783	0.9234828496042216	0.525461492182906	0.811780534742819	0.6686210134628625	0.2863190425599129	0	1	0	1
K03686	0.5971428571428572	0.9715099715099716	dnaJ; molecular chaperone DnaJ			78.0	783.0	775.0	4.0	0.986146095717884	O	282.0	516.0	5.0	0.963704630788486	COG0484	DnaJ-class_molecular_chaperone_with_C-terminal_Zn_finger_domain	DnaJ	798.0	0.3533834586466165	0.6466165413533834	0.396274073729559	0.219413488742463	0.3078437812360109	0.1768605849870959	0	0	0	0
K03687	0.6028571428571429	0.9829059829059827	GRPE; molecular chaperone GrpE			21.0	595.0	590.0	3.0	0.990016638935108	O	221.0	379.0	1.0	1.0	COG0576	Molecular_chaperone_GrpE_(heat_shock_protein_HSP-70)	GrpE	600.0	0.3683333333333333	0.6316666666666667	0.0254035179182068	0.0644313310192169	0.0449174244687118	0.0390278131010101	0	0	0	0
K03688	0.1657142857142857	0.4045584045584046	ubiB, aarF; ubiquinone biosynthesis protein			199.0	207.0	191.0	4.0	0.892241379310345	S	67.0	165.0	1.0	1.0	COG0661	Predicted_protein_kinase_regulating_ubiquinone_biosynthesis,_AarF/ABC1/UbiB_family	AarF	232.0	0.2887931034482758	0.7112068965517241	0.0097690227852965	0.227750518416647	0.1187597706009717	0.2179814956313505	0	0	0	0
K03689	0.0	0.0113960113960113	petN; cytochrome b6-f complex subunit 8	path:map00195,path:map01100	Photosynthesis,Metabolic pathways	29.0	3.0	2.0	2.0	0.75	C	0.0	4.0	3.0	0.5	2DR6M			4.0	0.0	1.0	3.26929262118016e-05	3.27635426688828e-05	3.27282344403422e-05	7.06164570812005e-08	0	0	0	0
K03690	0.0	0.0683760683760683	ubiJ; ubiquinone biosynthesis accessory factor UbiJ			148.0	25.0	0.0	1.0	1.0	S	0.0	25.0	1.0	1.0	COG3165	Ubiquinone_biosynthesis_protein_UbiJ,_contains_SCP2_domain	UbiJ	25.0	0.0	1.0	0.0015306628223989	0.0027750147478607	0.0021528387851298	0.0012443519254618	0	0	0	0
K03692	0.0	0.0256410256410256	E2.4.1.213; glucosylglycerol-phosphate synthase [EC:2.4.1.213]			450.0	9.0	0.0	1.0	1.0	G	0.0	9.0	1.0	1.0	COG0380	Trehalose-6-phosphate_synthase,_GT20_family	OtsA	9.0	0.0	1.0	0.0399795113374188	0.0876120186034925	0.0637957649704556	0.0476325072660737	0	0	0	0
K03693	0.0	0.0427350427350427	pbp1b; penicillin-binding protein 1B	path:map00550,path:map01100,path:map01501	Peptidoglycan biosynthesis,Metabolic pathways,beta-Lactam resistance	579.0	18.0	0.0	1.0	1.0	M	0.0	18.0	1.0	1.0	COG0744	Penicillin-binding_protein_1B/1F,_peptidoglycan__transglycosylase/transpeptidase	MrcB	18.0	0.0	1.0	0.0018236812233825	0.0035407017359213	0.0026821914796519	0.0017170205125388	0	0	0	0
K03694	0.0085714285714285	0.3190883190883191	clpA; ATP-dependent Clp protease ATP-binding subunit ClpA			625.0	128.0	127.0	2.0	0.992248062015504	O	3.0	126.0	1.0	1.0	COG0542	ATP-dependent_Clp_protease,_ATP-binding_subunit_ClpA	ClpA	129.0	0.0232558139534883	0.9767441860465116	0.031883497779127	0.72263415599323	0.3772588268861785	0.690750658214103	0	0	0	0
K03695	0.0828571428571428	0.8233618233618234	clpB; ATP-dependent Clp protease ATP-binding subunit ClpB	path:map04213	Longevity regulating pathway - multiple species	648.0	383.0	0.0	1.0	1.0	O	32.0	351.0	2.0	0.992167101827676	COG0542	ATP-dependent_Clp_protease,_ATP-binding_subunit_ClpA	ClpA	383.0	0.0835509138381201	0.91644908616188	0.0284707063867525	0.762583220835716	0.3955269636112342	0.7341125144489634	0	0	0	0
K03696	0.04	0.7065527065527065	clpC; ATP-dependent Clp protease ATP-binding subunit ClpC			513.0	404.0	395.0	3.0	0.975845410628019	O	15.0	399.0	2.0	0.978260869565217	COG0542	ATP-dependent_Clp_protease,_ATP-binding_subunit_ClpA	ClpA	414.0	0.036231884057971	0.9637681159420288	0.546928119404041	0.981376118663615	0.764152119033828	0.434447999259574	0	1	0	1
K03697	0.0	0.0484330484330484	clpE; ATP-dependent Clp protease ATP-binding subunit ClpE			609.0	17.0	0.0	1.0	1.0	O	0.0	17.0	1.0	1.0	COG0542	ATP-dependent_Clp_protease,_ATP-binding_subunit_ClpA	ClpA	17.0	0.0	1.0	0.0270707665796741	0.312202923926216	0.169636845252945	0.2851321573465419	0	0	0	0
K03698	0.0828571428571428	0.2678062678062678	cbf, cbf1; 3'-5' exoribonuclease [EC:3.1.-.-]			119.0	108.0	100.0	6.0	0.805970149253731	S	30.0	104.0	3.0	0.985074626865672	COG3481	3'-5'_exoribonuclease_YhaM,_can_participate_in_23S_rRNA_maturation,__HD_superfamily	YhaM	134.0	0.2238805970149253	0.7761194029850746	0.800292390808234	0.929810400489516	0.865051395648875	0.129518009681282	1	1	1	1
K03699	0.0914285714285714	0.5669515669515669	tlyC; magnesium and cobalt exporter, CNNM family			179.0	224.0	174.0	5.0	0.751677852348993	S	34.0	264.0	5.0	0.912751677852349	COG1253	Hemolysin-related_protein,_contains_CBS_domains,_UPF0053_family	TlyC	298.0	0.1140939597315436	0.8859060402684564	0.0492331748157702	0.920670981740752	0.4849520782782611	0.8714378069249819	0	0	0	0
K03700	0.0	0.074074074074074	recU; recombination protein U			141.0	27.0	0.0	1.0	1.0	L	0.0	27.0	1.0	1.0	COG3331	Penicillin-binding_protein-related_factor_A,_putative_recombinase	YotM	27.0	0.0	1.0	0.0098673314776448	0.0232823408189391	0.0165748361482919	0.0134150093412942	0	0	0	0
K03701	0.3885714285714285	0.9743589743589745	uvrA; excinuclease ABC subunit A	path:map03420	Nucleotide excision repair	685.0	606.0	0.0	1.0	1.0	L	149.0	457.0	1.0	1.0	COG0178	Excinuclease_UvrABC_ATPase_subunit	UvrA	606.0	0.2458745874587458	0.7541254125412541	0.715899726969168	0.800375428535633	0.7581375777524005	0.084475701566465	0	1	0	1
K03702	0.3885714285714285	0.9686609686609686	uvrB; excinuclease ABC subunit B	path:map03420	Nucleotide excision repair	533.0	486.0	484.0	2.0	0.995901639344262	L	137.0	351.0	1.0	1.0	COG0556	Excinuclease_UvrABC_helicase_subunit_UvrB	UvrB	488.0	0.2807377049180328	0.7192622950819673	0.0170369930923898	0.0727183639018298	0.0448776784971098	0.0556813708094399	0	0	0	0
K03703	0.3942857142857143	0.9829059829059827	uvrC; excinuclease ABC subunit C	path:map03420	Nucleotide excision repair	183.0	527.0	522.0	3.0	0.98689138576779	L	159.0	375.0	4.0	0.955056179775281	COG0322	Excinuclease_UvrABC,_nuclease_subunit	UvrC	534.0	0.297752808988764	0.702247191011236	0.396327386828123	0.0958115409160204	0.2460694638720717	0.3005158459121026	0	0	0	0
K03704	0.3342857142857143	0.7321937321937322	cspA; cold shock protein			6.0	956.0	953.0	4.0	0.992731048805815	K	280.0	681.0	3.0	0.994807892004154	COG1278	Cold_shock_protein,_CspA_family	CspC	961.0	0.291363163371488	0.708636836628512	0.0093725384105563		0.0093725384105563		0	0	0	0
K03705	0.0	0.698005698005698	hrcA; heat-inducible transcriptional repressor			143.0	247.0	0.0	1.0	1.0	K	0.0	247.0	1.0	1.0	COG1420	Transcriptional_regulator_of_heat_shock_response	HrcA	247.0	0.0	1.0	0.302892257600981	0.347085400528543	0.324988829064762	0.0441931429275619	0	0	0	0
K03706	0.0	0.0968660968660968	codY; transcriptional pleiotropic repressor			224.0	36.0	0.0	1.0	1.0	K	0.0	36.0	1.0	1.0	COG4465	GTP-sensing_pleiotropic_transcriptional_regulator_CodY	CodY	36.0	0.0	1.0	0.0040647883436804	0.0071222126408575	0.0055935004922689	0.0030574242971771	0	0	0	0
K03707	0.1542857142857142	0.1908831908831909	tenA; thiaminase (transcriptional activator TenA) [EC:3.5.99.2]	path:map00730,path:map01100,path:map01240	Thiamine metabolism,Metabolic pathways,Biosynthesis of cofactors	113.0	149.0	140.0	3.0	0.937106918238994	K	78.0	81.0	2.0	0.949685534591195	COG0819	Aminopyrimidine_aminohydrolase_TenA_(thiamine_salvage_pathway)	TenA	159.0	0.490566037735849	0.5094339622641509	0.0044345205457627	0.544147266098392	0.2742908933220773	0.5397127455526294	0	0	0	0
K03708	0.0	0.1111111111111111	ctsR; transcriptional regulator of stress and heat shock response			127.0	39.0	0.0	1.0	1.0	K	0.0	39.0	1.0	1.0	COG4463	Transcriptional_regulator_CtsR	CtsR	39.0	0.0	1.0	0.0017459065222625	0.0041455414009212	0.0029457239615918	0.0023996348786587	0	0	0	0
K03709	0.6914285714285714	0.452991452991453	troR; DtxR family transcriptional regulator, Mn-dependent transcriptional regulator			33.0	608.0	590.0	5.0	0.952978056426332	K	411.0	222.0	5.0	0.982758620689655	COG1321	Mn-dependent_transcriptional_regulator_MntR,_DtxR_family	MntR	633.0	0.6492890995260664	0.3507109004739336	0.422672983669907	0.668751550315178	0.5457122669925425	0.2460785666452709	0	0	0	0
K03710	0.0028571428571428	0.3903133903133903	K03710; GntR family transcriptional regulator			23.0	328.0	323.0	2.0	0.984984984984985	K	1.0	329.0	4.0	0.975975975975976	COG2188	DNA-binding_transcriptional_regulator,_GntR_family	MngR	330.0	0.003030303030303	0.996969696969697	0.0134097776178583	0.555309020101382	0.2843593988596201	0.5418992424835236	0	0	0	0
K03711	0.1314285714285714	0.811965811965812	fur, zur, furB; Fur family transcriptional regulator, ferric uptake regulator			30.0	440.0	310.0	3.0	0.767888307155323	P	52.0	517.0	2.0	0.994764397905759	COG0735	Fe2+_or_Zn2+_uptake_regulation_protein_Fur/Zur	Fur	569.0	0.0913884007029877	0.9086115992970124	0.0087161708540037	0.557537712490365	0.2831269416721843	0.5488215416363613	0	0	0	0
K03712	0.0	0.0085470085470085	marR; MarR family transcriptional regulator, multiple antibiotic resistance protein MarR			120.0	3.0	0.0	1.0	1.0	K	0.0	3.0	2.0	0.666666666666667	COG1846	DNA-binding_transcriptional_regulator,_MarR_family	MarR	3.0	0.0	1.0					0	0	0	0
K03713	0.0	0.0541310541310541	glnR; MerR family transcriptional regulator, glutamine synthetase repressor			100.0	20.0	0.0	1.0	1.0	K	0.0	20.0	1.0	1.0	COG0789	DNA-binding_transcriptional_regulator,_MerR_family	SoxR	20.0	0.0	1.0	0.0025566554082547	0.0067000213018079	0.0046283383550313	0.0041433658935532	0	0	0	0
K03715	0.0	0.0256410256410256	MGD; 1,2-diacylglycerol 3-beta-galactosyltransferase [EC:2.4.1.46]	path:map00561,path:map01100	Glycerolipid metabolism,Metabolic pathways	344.0	9.0	0.0	1.0	1.0	M	0.0	9.0	1.0	1.0	COG0707	UDP-N-acetylglucosamine:LPS_N-acetylglucosamine_transferase	MurG	9.0	0.0	1.0	0.0797439226998886	0.906979194495411	0.4933615585976498	0.8272352717955224	0	0	0	0
K03716	0.0314285714285714	0.1937321937321937	splB; spore photoproduct lyase [EC:4.1.99.14]			102.0	79.0	71.0	2.0	0.908045977011494	L	11.0	76.0	2.0	0.908045977011494	COG1533	DNA_repair_photolyase	SplB	87.0	0.1264367816091954	0.8735632183908046	0.88340455697191	0.991877110627922	0.937640833799916	0.108472553656012	1	1	1	1
K03717	0.0	0.0883190883190883	nhaR; LysR family transcriptional regulator, transcriptional activator of nhaA			253.0	36.0	0.0	1.0	1.0	K	0.0	36.0	1.0	1.0	COG0583	DNA-binding_transcriptional_regulator,_LysR_family	LysR	36.0	0.0	1.0	0.0089224024795626	0.0600081014869371	0.0344652519832498	0.0510856990073745	0	0	0	0
K03718	0.7257142857142858	0.188034188034188	asnC; Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA			45.0	615.0	0.0	1.0	1.0	K	517.0	98.0	1.0	1.0	COG1522	DNA-binding_transcriptional_regulator,_Lrp_family	Lrp	615.0	0.8406504065040651	0.1593495934959349	0.273020790456286	0.914681095882791	0.5938509431695385	0.641660305426505	0	0	0	0
K03719	0.1657142857142857	0.3846153846153846	lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein			82.0	336.0	0.0	1.0	1.0	K	75.0	261.0	1.0	1.0	COG1522	DNA-binding_transcriptional_regulator,_Lrp_family	Lrp	336.0	0.2232142857142857	0.7767857142857143	0.0002393521841485	0.0050966841334527	0.0026680181588006	0.0048573319493042	0	0	0	0
K03720	0.0	0.0455840455840455	trpR; TrpR family transcriptional regulator, trp operon repressor			73.0	12.0	8.0	2.0	0.75	K	0.0	16.0	2.0	0.75	COG2973	Trp_operon_repressor	TrpR	16.0	0.0	1.0	0.666848686396441	0.0414553026686082	0.3541519945325246	0.6253933837278328	0	0	0	1
K03721	0.0	0.0484330484330484	tyrR; transcriptional regulator of aroF, aroG, tyrA and aromatic amino acid transport			285.0	41.0	21.0	3.0	0.630769230769231	KT	0.0	65.0	5.0	0.8	COG3829	RocR-type_transcriptional_regulator,_contains_PAS,_AAA-type_ATPase,_and_DNA-binding_Fis_domains	RocR	65.0	0.0	1.0	0.0006256449113866	0.0018095191262096	0.0012175820187981	0.0011838742148229	0	0	0	0
K03722	0.1314285714285714	0.5156695156695157	dinG; ATP-dependent DNA helicase DinG [EC:5.6.2.3]			157.0	124.0	16.0	6.0	0.462686567164179	KL	55.0	213.0	6.0	0.914179104477612	COG1199	Rad3-related_DNA_helicase_DinG	DinG	268.0	0.2052238805970149	0.7947761194029851	0.0346137375868808	0.874992038915132	0.4548028882510064	0.8403783013282512	0	0	0	0
K03723	0.0028571428571428	0.9031339031339032	mfd; transcription-repair coupling factor (superfamily II helicase) [EC:5.6.2.4]	path:map03420	Nucleotide excision repair	550.0	327.0	326.0	2.0	0.996951219512195	L	1.0	327.0	1.0	1.0	COG1197	Transcription-repair_coupling_factor_(superfamily_II_helicase)	Mfd	328.0	0.0030487804878048	0.9969512195121952	0.778779174368507	0.40788700769948	0.5933330910339935	0.3708921666690269	0	0	1	1
K03724	0.8628571428571429	0.3133903133903133	lhr; ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.4.13 5.6.2.4]			241.0	545.0	369.0	3.0	0.751724137931034	L	575.0	143.0	7.0	0.878620689655172	COG1201	Lhr-like_helicase	Lhr	718.0	0.8008356545961003	0.1991643454038997	0.554386776857179	0.913657044157036	0.7340219105071075	0.359270267299857	0	1	0	1
K03725	0.2828571428571428	0.0	K03725; putative ATP-dependent RNA helicase [EC:3.6.4.-]			551.0	101.0	96.0	2.0	0.952830188679245	L	106.0	0.0	1.0	1.0	COG1202	Superfamily_II_helicase,_archaea-specific		106.0	1.0	0.0	0.949242643088725	0.871796337983451	0.910519490536088	0.0774463051052739	0	0	1	1
K03726	0.8	0.0313390313390313	helS; ATP-dependent DNA helicase [EC:5.6.2.4]			378.0	371.0	369.0	2.0	0.994638069705094	L	360.0	13.0	2.0	0.994638069705094	COG1204	Replicative_superfamily_II_helicase	BRR2	373.0	0.96514745308311	0.03485254691689	0.972958005761922	0.989790216511878	0.9813741111369	0.016832210749956	1	1	1	1
K03727	0.0342857142857142	0.1139601139601139	helY; ATP-dependent RNA helicase HelY [EC:3.6.4.-]			491.0	53.0	0.0	1.0	1.0	L	12.0	41.0	3.0	0.943396226415094	COG4581	Superfamily_II_RNA_helicase	Dob10	53.0	0.2264150943396226	0.7735849056603774	0.0098659204164291	0.0237307997299327	0.0167983600731809	0.0138648793135036	0	0	0	0
K03731	0.0028571428571428	0.0028490028490028	E2.4.1.216; trehalose 6-phosphate phosphorylase [EC:2.4.1.216]			777.0	2.0	0.0	1.0	1.0	G	1.0	1.0	2.0	0.5	COG1554	Kojibiose_phosphorylase_YcjT	ATH1	2.0	0.5	0.5					0	0	0	0
K03732	0.0057142857142857	0.1709401709401709	rhlB; ATP-dependent RNA helicase RhlB [EC:3.6.4.13]	path:map03018	RNA degradation	284.0	44.0	28.0	4.0	0.6875	L	2.0	62.0	3.0	0.9375	COG0513	Superfamily_II_DNA_and_RNA_helicase	SrmB	64.0	0.03125	0.96875	0.0172047576073815	0.0275487321441173	0.0223767448757494	0.0103439745367358	0	0	0	0
K03733	0.1828571428571428	0.8091168091168092	xerC; integrase/recombinase XerC			38.0	340.0	197.0	3.0	0.685483870967742	L	85.0	409.0	4.0	0.729838709677419	COG4974	Site-specific_recombinase_XerD	XerD	494.0	0.1720647773279352	0.8279352226720648	0.349904460203733	0.811372446432844	0.5806384533182884	0.461467986229111	0	0	0	0
K03734	0.0514285714285714	0.5555555555555556	apbE; FAD:protein FMN transferase [EC:2.7.1.180]			72.0	283.0	280.0	3.0	0.986062717770035	H	18.0	269.0	4.0	0.97212543554007	COG1477	FAD:protein_FMN_transferase_ApbE	ApbE	287.0	0.0627177700348432	0.9372822299651568	0.567723055886931	0.835241016573642	0.7014820362302865	0.2675179606867111	0	1	0	1
K03735	0.0085714285714285	0.1168091168091168	eutB; ethanolamine ammonia-lyase large subunit [EC:4.3.1.7]	path:map00564,path:map01100	Glycerophospholipid metabolism,Metabolic pathways	426.0	47.0	0.0	1.0	1.0	E	3.0	44.0	3.0	0.829787234042553	COG4303	Ethanolamine_ammonia-lyase,_large_subunit	EutB	47.0	0.0638297872340425	0.9361702127659576	0.0406980539126736	0.189851393337643	0.1152747236251583	0.1491533394249694	0	0	0	0
K03736	0.0085714285714285	0.1111111111111111	eutC; ethanolamine ammonia-lyase small subunit [EC:4.3.1.7]	path:map00564,path:map01100	Glycerophospholipid metabolism,Metabolic pathways	198.0	39.0	36.0	2.0	0.928571428571429	E	3.0	39.0	2.0	0.928571428571429	COG4302	Ethanolamine_ammonia-lyase,_small_subunit	EutC	42.0	0.0714285714285714	0.9285714285714286	0.0152124694402689	0.0509426122915065	0.0330775408658877	0.0357301428512376	0	0	0	0
K03737	0.0171428571428571	0.3333333333333333	por, nifJ; pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]	path:map00010,path:map00020,path:map00620,path:map00650,path:map00720,path:map01100,path:map01110,path:map01120,path:map01200	Glycolysis / Gluconeogenesis,Citrate cycle (TCA cycle),Pyruvate metabolism,Butanoate metabolism,Carbon fixation pathways in prokaryotes,Metabolic pathways,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Carbon metabolism	929.0	149.0	0.0	1.0	1.0	C	6.0	143.0	6.0	0.899328859060403	COG0674	Pyruvate:ferredoxin_oxidoreductase_or_related_2-oxoacid:ferredoxin_oxidoreductase,_alpha_subunit	PorA	149.0	0.0402684563758389	0.959731543624161	0.0168064454695129	0.260222958641537	0.1385147020555249	0.2434165131720241	0	0	0	0
K03738	0.4514285714285714	0.1766381766381766	aor; aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]	path:map00030,path:map01100,path:map01120,path:map01200	Pentose phosphate pathway,Metabolic pathways,Microbial metabolism in diverse environments,Carbon metabolism	154.0	824.0	0.0	1.0	1.0	C	621.0	191.0	1.0	1.0	COG2414	Aldehyde:ferredoxin_oxidoreductase	YdhV	812.0	0.7647783251231527	0.2352216748768472	0.876222610821211	0.929506418761081	0.902864514791146	0.0532838079398699	1	1	1	1
K03739	0.0	0.0398860398860398	dltB; membrane protein involved in D-alanine export	path:map00552,path:map01503,path:map02020,path:map05150	Teichoic acid biosynthesis,Cationic antimicrobial peptide (CAMP) resistance,Two-component system,Staphylococcus aureus infection	320.0	15.0	0.0	1.0	1.0	M	0.0	15.0	1.0	1.0	COG1696	D-alanyl-lipoteichoic_acid_acyltransferase_DltB,_MBOAT_superfamily	DltB	15.0	0.0	1.0	0.035583567062621	0.0648034512805187	0.0501935091715698	0.0292198842178977	0	0	0	0
K03740	0.0	0.0227920227920227	dltD; D-alanine transfer protein	path:map00552,path:map01503,path:map02020,path:map05150	Teichoic acid biosynthesis,Cationic antimicrobial peptide (CAMP) resistance,Two-component system,Staphylococcus aureus infection	359.0	8.0	0.0	1.0	1.0	M	0.0	8.0	1.0	1.0	COG3966	Poly-D-alanine_transfer_protein_DltD,_involved_in_esterification_of_teichoic_acids	DltD	8.0	0.0	1.0	0.0332695672128316	0.087206717420771	0.0602381423168013	0.0539371502079394	0	0	0	0
K03741	0.4028571428571428	0.5641025641025641	arsC; arsenate reductase (thioredoxin) [EC:1.20.4.4]			36.0	406.0	379.0	6.0	0.91647855530474	T	167.0	286.0	7.0	0.901315789473684	COG0394	Protein-tyrosine-phosphatase	Wzb	453.0	0.3686534216335541	0.6313465783664459	0.0343663899972186	0.0749271311251832	0.0546467605612009	0.0405607411279646	0	0	0	0
K03742	0.0685714285714285	0.6125356125356125	pncC; nicotinamide-nucleotide amidase [EC:3.5.1.42]	path:map00760,path:map01100	Nicotinate and nicotinamide metabolism,Metabolic pathways	87.0	251.0	249.0	3.0	0.988188976377953	S	26.0	226.0	3.0	0.830708661417323	COG1058	ADP-ribose_pyrophosphatase_domain_of_DNA_damage-_and_competence-inducible_protein_CinA	CinA	252.0	0.1031746031746031	0.8968253968253969	0.231232180231598	0.456108312886628	0.343670246559113	0.22487613265503	0	0	0	0
K03743	0.1914285714285714	0.6723646723646723	pncC; nicotinamide-nucleotide amidase [EC:3.5.1.42]	path:map00760,path:map01100	Nicotinate and nicotinamide metabolism,Metabolic pathways	65.0	307.0	300.0	4.0	0.965408805031446	S	70.0	247.0	4.0	0.572327044025157	COG1546	Nicotinamide_mononucleotide_(NMN)_deamidase_PncC	PncC	317.0	0.2208201892744479	0.7791798107255521	0.150602904477239	0.0498836694589824	0.1002432869681107	0.1007192350182566	0	0	0	0
K03744	0.2428571428571428	0.5527065527065527	lemA; LemA protein			129.0	331.0	329.0	2.0	0.993993993993994	S	89.0	244.0	2.0	0.996996996996997	COG1704	Magnetosome_formation_protein_MamQ,_lipoprotein_antigen_LemA_family	LemA	333.0	0.2672672672672673	0.7327327327327328	0.755017911055643	0.86011386369945	0.8075658873775464	0.105095952643807	1	1	1	1
K03745	0.0	0.1168091168091168	slyX; SlyX protein			55.0	41.0	0.0	1.0	1.0	S	0.0	41.0	4.0	0.902439024390244	COG2900	Uncharacterized_coiled-coil_protein_SlyX_(sensitive_to_lysis_X)	SlyX	41.0	0.0	1.0	0.0033476184418216	0.008587306447767	0.0059674624447943	0.0052396880059454	0	0	0	0
K03746	0.0	0.0826210826210826	hns; DNA-binding protein H-NS			78.0	34.0	28.0	3.0	0.80952380952381	S	0.0	42.0	2.0	0.976190476190476	COG2916	DNA-binding_protein_H-NS	Hns	42.0	0.0	1.0	0.0016997604155854	0.003818275320824	0.0027590178682047	0.0021185149052386	0	0	0	0
K03747	0.0	0.0683760683760683	smg; Smg protein			98.0	24.0	0.0	1.0	1.0	S	0.0	24.0	3.0	0.916666666666667	COG2922	Uncharacterized_conserved_protein_Smg,_DUF494_family	Smg	24.0	0.0	1.0	0.003545933367814	0.114322135927399	0.0589340346476065	0.110776202559585	0	0	0	0
K03748	0.0	0.094017094017094	sanA; SanA protein			171.0	35.0	0.0	1.0	1.0	S	0.0	35.0	1.0	1.0	COG2949	Uncharacterized_periplasmic_protein_SanA,_affects_membrane_permeability_for_vancomycin	SanA	35.0	0.0	1.0	0.0121474870056746	0.024201048036211	0.0181742675209428	0.0120535610305363	0	0	0	0
K03749	0.0	0.1225071225071225	dedD; DedD protein			42.0	28.0	12.0	5.0	0.583333333333333	S	0.0	48.0	7.0	0.583333333333333	COG3147	Cell_division_protein_DedD_(periplasmic_protein_involved_in_septation)	DedD	48.0	0.0	1.0	0.0061746627971285	0.0129049150384867	0.0095397889178076	0.0067302522413581	0	0	0	0
K03750	0.5571428571428572	0.6552706552706553	moeA; molybdopterin molybdotransferase [EC:2.10.1.1]	path:map00790,path:map01100,path:map01240	Folate biosynthesis,Metabolic pathways,Biosynthesis of cofactors	107.0	750.0	713.0	4.0	0.911300121506683	H	440.0	377.0	10.0	0.940461725394897	COG0303	Molybdopterin_Mo-transferase_(molybdopterin_biosynthesis)	MoeA	817.0	0.5385556915544676	0.4614443084455324	0.142280228880033	0.729430630958939	0.435855429919486	0.587150402078906	0	0	0	0
